# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
17              	DILUPBiCGStab	6.95095340e-03	4.11032900e-05	1	4.90872890e-03	3.02382110e-05	1	false	DILUPBiCGStab	1.18662490e-02	1.37021370e-04	1	true	GAMG	2.36879750e-02	1.89684570e-04	17	true	DILUPBiCGStab	6.65676190e-02	4.43147360e-04	1	true	DILUPBiCGStab	2.84504440e-03	2.91894140e-05	1	true
18              	DILUPBiCGStab	6.91407510e-03	3.85993850e-05	1	4.99375490e-03	2.99426360e-05	1	false	DILUPBiCGStab	1.07589210e-02	9.58159560e-05	1	true	GAMG	2.14734640e-02	2.09337430e-04	19	true	DILUPBiCGStab	6.34775140e-02	4.30932790e-04	1	true	DILUPBiCGStab	2.66364040e-03	2.13242860e-04	1	true
19              	DILUPBiCGStab	6.85759840e-03	3.47409030e-05	1	4.89651180e-03	2.77639180e-05	1	false	DILUPBiCGStab	9.76155540e-03	9.76768850e-05	1	true	GAMG	2.06282600e-02	1.68193310e-04	19	true	DILUPBiCGStab	6.10041310e-02	3.89911500e-04	1	true	DILUPBiCGStab	2.46122880e-03	2.21056310e-04	1	true
20              	DILUPBiCGStab	6.80825470e-03	3.24344160e-05	1	4.74520610e-03	2.53523360e-05	1	false	DILUPBiCGStab	9.05351860e-03	1.00384300e-04	1	true	GAMG	1.96572170e-02	1.71659750e-04	15	true	DILUPBiCGStab	5.87485860e-02	3.42872610e-04	1	true	DILUPBiCGStab	2.31088350e-03	1.94420800e-04	1	true
21              	DILUPBiCGStab	6.76707700e-03	3.17283770e-05	1	4.65532440e-03	2.36584990e-05	1	false	DILUPBiCGStab	8.45826530e-03	1.10965320e-04	1	true	GAMG	1.86703480e-02	1.76141310e-04	15	true	DILUPBiCGStab	5.65682480e-02	2.92895340e-04	1	true	DILUPBiCGStab	2.15750580e-03	1.68839640e-04	1	true
22              	DILUPBiCGStab	6.74976130e-03	3.18904880e-05	1	4.62304410e-03	2.23305360e-05	1	false	DILUPBiCGStab	8.01021500e-03	1.16852050e-04	1	true	GAMG	1.80251810e-02	1.69517580e-04	17	true	DILUPBiCGStab	5.45848120e-02	4.90729940e-03	1	true	DILUPBiCGStab	2.04036640e-03	1.48790510e-04	1	true
23              	DILUPBiCGStab	6.75568240e-03	3.30126620e-05	1	4.61543900e-03	2.09014540e-05	1	false	DILUPBiCGStab	7.61983390e-03	1.08425600e-04	1	true	GAMG	1.77966910e-02	1.48829790e-04	19	true	DILUPBiCGStab	5.26347750e-02	4.86167310e-03	1	true	DILUPBiCGStab	1.92502350e-03	1.33369130e-04	1	true
24              	DILUPBiCGStab	6.75289240e-03	3.45797460e-05	1	4.60258420e-03	1.93218160e-05	1	false	DILUPBiCGStab	7.30069040e-03	9.43166920e-05	1	true	GAMG	1.75521230e-02	1.44448240e-04	19	true	DILUPBiCGStab	5.13296330e-02	4.03168350e-03	1	true	DILUPBiCGStab	1.82526640e-03	1.23996520e-04	1	true
25              	DILUPBiCGStab	6.74723720e-03	3.62085640e-05	1	4.59176700e-03	1.77611750e-05	1	false	DILUPBiCGStab	7.06325480e-03	8.74590430e-05	1	true	GAMG	1.71443420e-02	1.37603700e-04	19	true	DILUPBiCGStab	5.06855750e-02	3.04825930e-03	1	true	DILUPBiCGStab	1.72641010e-03	1.13204310e-04	1	true
26              	DILUPBiCGStab	6.74231400e-03	3.75267940e-05	1	4.58584440e-03	1.63412580e-05	1	false	DILUPBiCGStab	6.89211400e-03	8.26977110e-05	1	true	GAMG	1.68862060e-02	1.63953380e-04	17	true	DILUPBiCGStab	5.07635980e-02	2.31060850e-03	1	true	DILUPBiCGStab	1.64570130e-03	1.02638550e-04	1	true
27              	DILUPBiCGStab	6.72260970e-03	3.83228810e-05	1	4.57946190e-03	1.55002340e-05	1	false	DILUPBiCGStab	6.84566860e-03	7.91986570e-05	1	true	GAMG	1.65315900e-02	1.63849430e-04	17	true	DILUPBiCGStab	5.16847760e-02	1.96131310e-03	1	true	DILUPBiCGStab	1.57662040e-03	9.37221330e-05	1	true
28              	DILUPBiCGStab	6.68305090e-03	3.86795150e-05	1	4.57198600e-03	1.49718590e-05	1	false	DILUPBiCGStab	6.86929610e-03	7.50234960e-05	1	true	GAMG	1.62118840e-02	1.61599780e-04	17	true	DILUPBiCGStab	5.36552780e-02	1.89209710e-03	1	true	DILUPBiCGStab	1.51877240e-03	8.66447940e-05	1	true
29              	DILUPBiCGStab	6.62678550e-03	3.87658500e-05	1	4.56309600e-03	1.46090230e-05	1	false	DILUPBiCGStab	6.98678910e-03	6.96545020e-05	1	true	GAMG	1.59241230e-02	1.45198520e-04	18	true	DILUPBiCGStab	5.68699910e-02	2.06699260e-03	1	true	DILUPBiCGStab	1.47251200e-03	8.05156870e-05	1	true
30              	DILUPBiCGStab	6.55094480e-03	3.86366860e-05	1	4.55228370e-03	1.44082390e-05	1	false	DILUPBiCGStab	7.23868910e-03	6.32118000e-05	1	true	GAMG	1.56124920e-02	1.33594850e-04	18	true	DILUPBiCGStab	6.11091620e-02	2.38663020e-03	1	true	DILUPBiCGStab	1.44199510e-03	7.53068540e-05	1	true
31              	DILUPBiCGStab	6.45636910e-03	3.84156710e-05	1	4.53200520e-03	1.44408730e-05	1	false	DILUPBiCGStab	7.64225310e-03	5.62003860e-05	1	true	GAMG	1.52790320e-02	1.23846150e-04	18	true	DILUPBiCGStab	6.50258070e-02	2.74599390e-03	1	true	DILUPBiCGStab	1.42775210e-03	7.07599950e-05	1	true
32              	DILUPBiCGStab	6.34596550e-03	3.81814400e-05	1	4.50471450e-03	1.45749920e-05	1	false	DILUPBiCGStab	8.12635040e-03	4.55293950e-05	1	true	GAMG	1.49988800e-02	1.28973660e-04	18	true	DILUPBiCGStab	6.84047180e-02	3.04938950e-03	1	true	DILUPBiCGStab	1.41733760e-03	6.68238540e-05	1	true
33              	DILUPBiCGStab	6.22213980e-03	3.79818480e-05	1	4.46547010e-03	1.47306780e-05	1	false	DILUPBiCGStab	8.82300020e-03	3.75770430e-05	1	true	GAMG	1.47639710e-02	1.40130950e-04	18	true	DILUPBiCGStab	7.03866020e-02	3.21403990e-03	1	true	DILUPBiCGStab	1.42415240e-03	6.33961970e-05	1	true
34              	DILUPBiCGStab	6.09100500e-03	3.78506920e-05	1	4.41425060e-03	1.48673690e-05	1	false	DILUPBiCGStab	9.43542620e-03	3.87408170e-05	1	true	GAMG	1.45136730e-02	1.16288440e-04	20	true	DILUPBiCGStab	6.92311930e-02	3.16231950e-03	1	true	DILUPBiCGStab	1.44769630e-03	6.04595880e-05	1	true
35              	DILUPBiCGStab	5.95547620e-03	3.77948760e-05	1	4.35139180e-03	1.49811300e-05	1	false	DILUPBiCGStab	9.66016850e-03	4.83953970e-05	1	true	GAMG	1.42617050e-02	1.21612340e-04	20	true	DILUPBiCGStab	6.46295430e-02	2.91650840e-03	1	true	DILUPBiCGStab	1.47710400e-03	5.76268850e-05	1	true
36              	DILUPBiCGStab	5.81771010e-03	3.77319680e-05	1	4.28097320e-03	1.51388640e-05	1	false	DILUPBiCGStab	9.88124990e-03	5.15799630e-05	1	true	GAMG	1.40472060e-02	1.29197010e-04	20	true	DILUPBiCGStab	5.91544290e-02	2.63135880e-03	1	true	DILUPBiCGStab	1.48669060e-03	5.48664410e-05	1	true
37              	DILUPBiCGStab	5.68132490e-03	3.76634690e-05	1	4.20450490e-03	1.53145510e-05	1	false	DILUPBiCGStab	9.68997400e-03	4.84782230e-05	1	true	GAMG	1.38427410e-02	1.34170730e-04	20	true	DILUPBiCGStab	5.36248150e-02	2.36266200e-03	1	true	DILUPBiCGStab	1.49923450e-03	5.33257160e-05	1	true
38              	DILUPBiCGStab	5.54736730e-03	3.76101680e-05	1	4.12344070e-03	1.55604140e-05	1	false	DILUPBiCGStab	9.42148660e-03	4.78268050e-05	1	true	GAMG	1.35920530e-02	1.34365410e-04	20	true	DILUPBiCGStab	4.83481640e-02	2.12895210e-03	1	true	DILUPBiCGStab	1.49714880e-03	5.14676180e-05	1	true
39              	DILUPBiCGStab	5.42020970e-03	3.74796520e-05	1	4.04127420e-03	1.57883510e-05	1	false	DILUPBiCGStab	9.04719620e-03	4.58810820e-05	1	true	GAMG	1.33091640e-02	1.30179620e-04	20	true	DILUPBiCGStab	4.34618400e-02	1.93664920e-03	1	true	DILUPBiCGStab	1.48624620e-03	5.03997970e-05	1	true
40              	DILUPBiCGStab	5.30236040e-03	3.72256820e-05	1	3.95897460e-03	1.59823230e-05	1	false	DILUPBiCGStab	8.52436260e-03	4.21137020e-05	1	true	GAMG	1.30185550e-02	1.19462580e-04	20	true	DILUPBiCGStab	3.90447940e-02	1.78244860e-03	1	true	DILUPBiCGStab	1.46490810e-03	5.00398260e-05	1	true
41              	DILUPBiCGStab	5.19309530e-03	3.68946030e-05	1	3.87587640e-03	1.61501550e-05	1	false	DILUPBiCGStab	8.01722500e-03	3.93489870e-05	1	true	GAMG	1.26675530e-02	1.04155940e-04	20	true	DILUPBiCGStab	3.51644160e-02	1.66230840e-03	1	true	DILUPBiCGStab	1.43868350e-03	4.98387720e-05	1	true
